Category,Product Name,Location,Price,Overall Rating,Number Sold,Customer Rating,Customer Review,clean_review,Sentiment,sentiment_label,Emotion,emotion_label
Computers and Laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,Jakarta Utara,53500,4.9,5449,5,Alhamdulillah berfungsi dengan baik. Packaging aman. Respon cepat dan ramah. Seller dan kurir amanah,alhamdulillah fungsi packaging aman respons cepat ramah jual kurir amanah,Positive,1,Happy,0
Computers and Laptops,PAKET LISENSI WINDOWS 10 PRO DAN OFFICE 2019 ORIGINAL + BONUS,Kota Tangerang Selatan,72000,4.9,2359,5,"barang bagus dan respon cepat, harga bersaing dengan yg lain.",barang bagus respons cepat harga saing,Positive,1,Happy,0
Computers and Laptops,SSD Midasforce 128 Gb - Tanpa Caddy,Jakarta Barat,213000,5.0,12300,5,"barang bagus, berfungsi dengan baik, seler ramah, pengiriman cepat",barang bagus fungsi seler ramah kirim cepat,Positive,1,Happy,0
Computers and Laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,Jakarta Timur,55000,4.7,2030,5,bagus sesuai harapan penjual nya juga ramah. trimakasih pelapak ??,bagus sesuai harap jual ramah trimakasih lapak,Positive,1,Happy,0
Computers and Laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,Jakarta Timur,55000,4.7,2030,5,"Barang Bagus, pengemasan Aman, dapat Berfungsi dengan Baik",barang bagus emas aman fungsi,Positive,1,Happy,0
Computers and Laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,Jakarta Timur,55000,4.7,2030,5,"barang bagus, seller ramah..",barang bagus jual ramah,Positive,1,Happy,0
Computers and Laptops,Kepala Colokan Listrik Charger Macbook untuk colokan Indonesia,Jakarta Selatan,85000,4.9,1339,5,mantap paten joss,mantap paten bagus,Positive,1,Happy,0
Computers and Laptops,AFL Bidirectional HDMI Switcher 1-In 2-Out & 2-In 1-Out - AFU,Jakarta Barat,136500,5.0,1201,5,"Works fine. Respon seller cepat, barang berfungsi dengan baik. Recommended.",works fine respons jual cepat barang fungsi recommended,Positive,1,Happy,0
Computers and Laptops,AFL Bidirectional HDMI Switcher 1-In 2-Out & 2-In 1-Out - AFU,Jakarta Barat,136500,5.0,1201,5,barang bagus.. segel.. utuh.. original.. berfungsi dengan bener.. seller respon nya ajib.. cepat amir... uda gt kasi sarannya pas banget lg dengan kebutuhan.. mantabbb,barang bagus segel utuh original fungsi jual respons ajib cepat amir uda gt kasi saran pas banget lg butuh mantabb,Positive,1,Happy,0
Computers and Laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,Jakarta Barat,113777,4.9,1630,5,Barang datang dan berfungsi dengan baik dan terlihat bagus kali ada lampu birunya.,barang fungsi bagus lampu biru,Positive,1,Happy,0
